Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","124","Canada","5412","Yield","0116","Rye","2023","2023","kg/ha","3090.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01344.01","Sour cherries","2023","2023","kg/ha","4300.8","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0141","Soya beans","2023","2023","kg/ha","3087.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01215","Spinach","2023","2023","kg/ha","9179.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01354","Strawberries","2023","2023","kg/ha","8258","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01801","Sugar beet","2023","2023","kg/ha","88816.1","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","2323.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","89494.2","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01191","Triticale","2023","2023","kg/ha","2348.3","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01970","Unmanufactured tobacco","2023","2023","kg/ha","2836.2","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","01221","Watermelons","2023","2023","kg/ha","43400.7","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5412","Yield","0111","Wheat","2023","2023","kg/ha","2991.3","A","Official figure",""
